((ing only + sol only) / total, both, ing only, sol only, keyword)
(0.0, 2, 0, 0, 'try')
(0.0, 35, 0, 0, 'case')
(0.0, 41, 0, 0, 'enum')
(0.0, 63, 0, 0, 'switch')
(0.0, 241, 0, 0, 'catch')
(0.0, 6299, 0, 0, 'package')
(0.0005259006047856955, 7602, 0, 4, 'import')
(0.002048131080389145, 1949, 2, 2, 'class')
(0.011235955056179775, 264, 2, 1, 'for')
(0.0149812734082397, 263, 2, 2, 'interface')
(0.02060931899641577, 2186, 18, 28, 'void')
(0.030821917808219176, 283, 6, 3, 'else')
(0.0329178028827425, 4965, 108, 61, 'static')
(0.03611055073633246, 4778, 103, 76, 'return')
(0.04232558139534884, 4118, 121, 61, 'if')
(0.052148365773044436, 2581, 90, 52, 'long')
(0.06349206349206349, 59, 3, 1, 'while')
(0.06666666666666667, 28, 0, 2, 'native')
(0.10119047619047619, 151, 4, 13, 'char')
(0.12161779956632413, 9317, 458, 832, 'new')
(0.127208480565371, 247, 25, 11, 'abstract')
(0.14013709063214014, 1129, 140, 44, 'extends')
(0.15120274914089346, 494, 45, 43, 'float')
(0.15966386554621848, 2200, 220, 198, 'int')
(0.1643835616438356, 122, 8, 16, 'short')
(0.17367706919945725, 1218, 124, 132, 'throw')
(0.18001525553012968, 1075, 124, 112, 'boolean')
(0.2, 8, 0, 2, 'default')
(0.2088495575221239, 2682, 402, 306, 'this')
(0.21, 158, 12, 30, 'byte')
(0.21643835616438356, 858, 145, 92, 'super')
(0.23836503439902873, 3764, 810, 368, 'final')
(0.2578947368421053, 141, 28, 21, 'double')
(0.2631578947368421, 14, 5, 0, 'transient')
(0.2873134328358209, 573, 152, 79, 'implements')
(0.3146067415730337, 122, 34, 22, 'instanceof')
(0.3322558526790087, 6817, 1766, 1626, 'public')
(0.3843137254901961, 785, 117, 373, 'throws')
(0.3987185805815673, 1220, 335, 474, 'private')
(0.43212986286034144, 2029, 939, 605, 'null')
(0.5, 15, 7, 8, 'break')
(0.5, 17, 13, 4, 'continue')
(0.5, 50, 37, 13, 'synchronized')
(0.5581395348837209, 57, 2, 70, 'assert')
(0.701023890784983, 876, 1155, 899, 'true')
(0.7080953980517299, 869, 1040, 1068, 'false')
(0.7536231884057971, 17, 47, 5, 'volatile')
(0.8310874334064556, 539, 1397, 1255, 'protected')
